URLLength,HostLength,TLDLength,DotCount,DashCount,AtSymbolCount,PercentSymbolCount,EqualsSymbolCount,QuestionMarkCount,DigitCount,UniqueCharCount
72,9,4,1,0,0,18,0,0,23,19
77,20,3,3,0,0,2,0,1,7,34
124,12,3,8,0,0,0,1,1,27,38
83,10,3,1,1,1,0,1,1,7,30
111,10,3,2,0,0,0,9,1,5,32
142,12,3,11,0,0,0,1,1,26,44
103,15,6,3,17,0,0,0,0,6,26
92,15,3,1,0,0,0,2,1,1,26
85,11,3,1,4,0,0,0,0,0,22
164,13,3,2,0,0,27,3,1,25,41
107,9,2,2,13,0,0,0,0,19,28
101,9,3,4,2,0,0,1,1,3,30
167,13,2,1,13,0,0,3,1,8,34
116,6,2,1,8,0,0,0,0,1,19
108,11,3,1,9,0,0,0,0,0,22
169,15,3,1,0,0,4,2,1,6,40
115,6,2,1,7,0,0,0,0,8,32
91,10,3,1,12,0,0,0,0,10,31
87,8,3,1,14,0,0,0,0,0,26
93,10,3,1,11,0,0,0,0,5,29
92,11,3,1,10,0,0,0,0,9,34
72,9,4,1,0,0,18,0,0,25,23
105,13,3,2,0,0,9,4,1,12,39
112,9,2,1,0,0,29,0,0,26,26
136,12,3,9,0,0,0,1,1,31,41
99,9,4,1,0,0,27,0,0,30,24
212,13,2,2,4,0,0,2,1,38,66
72,9,4,1,0,0,18,0,0,25,24
126,11,3,1,10,0,0,1,1,25,37
101,9,3,1,12,0,0,0,0,10,29
95,11,3,1,8,0,0,0,0,0,22
106,12,3,1,10,0,0,0,0,8,28
81,9,4,1,0,0,21,0,0,24,21
97,9,3,2,0,0,14,2,1,11,35
165,12,3,15,0,0,0,1,1,35,44
90,6,2,1,4,0,0,0,0,1,18
82,14,3,2,0,0,18,0,0,15,27
137,15,2,3,1,0,2,0,0,10,48
99,6,3,1,12,0,0,0,0,6,31
218,12,3,22,0,0,0,1,1,35,40
133,12,3,9,0,0,0,1,1,33,41
111,12,3,1,10,0,0,0,0,10,29
139,7,3,1,2,0,33,0,0,50,34
100,14,3,1,8,0,0,0,0,8,32
91,6,2,1,10,0,0,0,0,9,31
67,14,3,3,0,0,0,2,1,6,31
81,9,4,1,0,0,21,0,0,27,23
84,15,3,1,4,0,0,0,0,8,26
135,11,3,1,13,0,0,0,0,14,33
87,15,3,1,8,0,0,0,0,6,30
89,11,2,2,14,0,0,0,0,6,25
87,7,2,1,11,0,3,0,0,19,34
78,11,3,1,8,0,0,0,0,0,24
100,20,3,1,10,0,0,0,0,6,29
90,9,4,1,0,0,24,0,0,33,24
102,14,3,1,6,0,0,0,0,10,32
76,15,3,3,0,0,0,3,1,7,30
119,13,3,1,16,0,0,0,0,0,24
115,6,3,1,13,0,0,0,0,6,30
100,9,2,2,13,0,0,0,0,27,30
81,9,4,1,0,0,21,0,0,28,25
93,9,5,2,2,0,0,0,0,1,23
56,27,3,2,0,0,0,0,0,0,21
259,13,3,1,5,0,68,0,0,79,33
91,12,6,3,2,0,0,0,0,0,26
67,15,3,4,0,0,0,1,1,20,25
113,10,3,2,0,0,0,9,1,6,31
98,14,3,1,12,0,0,0,0,8,29
82,15,3,3,0,0,0,1,0,26,34
81,9,4,1,0,0,21,0,0,25,24
87,7,3,1,10,0,0,0,0,6,26
123,7,3,1,1,0,27,0,0,45,34
91,11,2,1,0,0,0,0,0,0,22
87,15,3,1,0,0,0,0,0,23,29
115,14,3,1,11,0,0,0,0,8,30
139,12,3,1,0,0,0,7,0,15,36
94,7,3,1,11,0,0,0,0,10,28
109,16,2,1,0,0,0,0,0,0,25
72,9,4,1,0,0,18,0,0,19,23
105,17,3,1,4,0,0,0,0,0,23
100,11,3,1,7,0,0,1,1,8,32
101,15,3,1,4,0,0,0,0,8,28
64,11,3,2,0,0,0,0,0,18,26
85,6,2,2,5,0,0,1,1,8,34
81,23,3,3,1,0,0,0,0,0,23
69,9,4,2,0,0,15,0,0,22,26
82,14,3,1,6,0,0,0,0,4,25
95,13,2,2,11,0,0,0,0,6,29
145,13,2,1,8,0,0,3,1,8,32
117,17,3,1,10,0,0,0,0,2,26
162,11,3,2,17,0,0,1,1,5,32
98,10,2,2,3,0,0,0,0,17,46
145,17,3,1,13,0,0,0,0,0,25
89,15,3,2,12,0,0,0,0,3,23
112,11,3,2,9,0,0,0,0,8,29
97,11,2,1,0,0,21,0,1,19,34
182,14,3,5,0,0,4,7,1,21,46
162,9,3,1,3,0,42,0,0,58,32
90,9,4,1,0,0,24,0,0,29,25
113,13,3,1,14,0,0,0,0,4,28
97,14,3,7,3,0,0,1,1,13,32
104,17,3,3,6,0,2,1,1,10,35
95,6,2,1,1,0,18,1,1,17,33
86,12,3,1,3,0,0,0,0,8,28
92,15,3,1,6,0,0,0,0,6,30
72,9,4,1,0,0,18,0,0,25,23
98,15,3,6,2,0,0,2,1,6,30
94,14,3,1,7,0,0,1,1,15,33
106,6,3,1,15,0,0,0,0,6,31
84,8,3,1,11,0,0,0,0,8,29
69,15,3,2,0,0,0,3,1,7,31
124,15,2,2,1,0,4,0,0,21,41
87,15,3,3,1,0,0,4,1,16,38
143,15,3,1,19,0,0,0,0,8,33
84,10,6,3,0,0,0,0,0,0,30
92,6,3,1,9,0,0,0,0,4,32
89,15,2,8,1,0,0,0,0,15,37
89,14,3,1,7,0,0,0,0,13,32
301,11,3,2,1,0,71,1,1,90,50
83,12,2,2,8,0,0,0,0,0,23
87,6,3,1,10,0,0,0,0,4,31
92,17,3,2,12,0,0,0,0,0,23
109,15,3,1,1,0,0,2,1,1,30
66,17,3,3,1,0,0,0,0,18,29
90,9,4,1,0,0,24,0,0,29,26
83,16,3,1,0,0,18,0,0,24,28
70,21,6,3,0,0,0,1,1,3,26
140,12,3,11,0,0,0,1,1,28,43
117,17,3,1,5,0,0,0,0,22,32
290,11,3,2,1,0,68,1,1,85,51
91,9,5,2,2,0,0,0,0,1,21
87,13,3,1,8,0,0,0,0,6,33
114,17,3,1,6,0,0,0,0,19,34
129,12,3,2,18,0,0,0,0,9,32
93,7,3,1,10,0,0,0,0,7,26
92,11,3,1,8,0,0,0,0,8,31
70,18,3,3,0,0,0,0,0,26,28
109,7,3,1,12,0,0,0,0,6,26
110,10,3,1,9,0,0,1,1,5,29
133,6,3,1,19,0,0,0,0,8,33
121,9,5,2,6,0,0,0,0,1,22
118,11,3,2,17,0,0,0,0,1,27
67,14,3,3,0,0,0,2,1,6,30
160,9,3,1,5,0,38,0,0,46,30
110,16,3,3,0,0,0,7,1,6,38
90,20,3,1,8,0,0,0,0,6,27
101,11,2,2,18,0,0,0,0,6,27
115,9,5,2,6,0,0,0,0,1,22
147,11,3,1,15,0,0,0,0,0,24
96,15,6,3,13,0,0,0,0,6,29
227,9,3,1,8,0,62,0,0,73,33
143,13,6,2,0,0,0,0,0,6,29
99,9,4,1,0,0,27,0,0,31,23
156,12,3,12,0,0,0,1,1,34,46
264,11,3,2,1,0,59,1,1,76,44
91,9,5,2,4,0,0,0,0,1,24
55,27,3,2,0,0,0,0,0,0,21
116,12,3,2,5,0,0,0,0,0,22
103,11,3,1,10,0,0,0,0,6,28
86,9,3,3,0,0,5,1,1,7,27
73,30,3,2,4,0,0,0,0,0,23
85,9,3,2,0,0,0,5,1,17,30
81,9,4,1,0,0,21,0,0,24,22
86,10,3,1,3,0,0,0,0,29,34
69,15,3,4,0,0,0,1,1,17,26
148,13,6,2,0,0,0,0,0,6,29
171,13,3,3,0,0,0,19,1,26,34
87,14,3,3,0,0,0,0,0,36,33
115,46,3,9,0,0,9,1,1,15,37
81,23,3,3,1,0,0,0,0,0,23
105,11,3,1,10,0,0,1,1,10,34
91,15,2,1,0,0,6,1,1,12,24
101,11,3,1,7,0,0,1,1,8,33
89,12,3,1,8,0,0,0,0,7,28
89,14,3,2,0,0,0,5,1,6,30
122,16,3,3,0,0,0,6,1,17,36
87,8,3,1,9,0,0,0,0,2,25
110,10,3,2,14,0,0,1,1,7,32
67,13,3,2,0,0,0,0,0,11,28
83,13,3,1,7,0,0,0,0,6,29
224,10,2,1,5,0,64,0,0,31,28
84,9,4,1,0,0,22,0,0,27,23
102,11,3,1,10,0,0,0,0,0,24
100,7,2,1,14,0,0,0,0,11,32
86,12,2,2,10,0,0,0,0,7,29
94,12,3,1,8,0,0,0,0,10,30
110,13,2,2,16,0,0,0,0,8,27
151,15,2,2,2,0,4,0,0,21,48
68,15,3,3,0,0,0,2,1,7,31
89,8,3,1,9,0,0,0,0,6,27
84,17,3,1,7,0,0,0,0,8,28
83,14,3,3,0,0,0,2,1,1,29
83,10,3,1,6,0,0,1,1,7,31
85,10,2,2,6,0,0,0,0,6,31
90,9,4,1,0,0,24,0,0,33,23
86,13,2,2,10,0,0,0,0,6,26
72,9,4,1,0,0,18,0,0,25,23
263,11,3,2,1,0,59,1,1,73,46
83,15,3,1,7,0,0,0,0,6,31
93,12,3,2,10,0,0,0,0,0,23
81,16,6,4,0,0,0,0,0,26,34
67,15,3,4,0,0,0,1,1,20,25
100,15,6,2,5,0,0,0,0,0,22
107,15,6,2,7,0,0,0,0,0,23
110,16,3,3,0,0,0,7,1,6,38
100,17,3,1,9,0,0,0,0,8,30
84,11,3,1,12,0,0,0,0,10,30
73,12,3,3,6,0,0,0,0,15,28
114,10,3,1,12,0,0,1,1,8,32
90,9,4,1,0,0,24,0,0,32,25
73,17,3,2,0,0,0,0,0,0,26
116,15,6,3,15,0,0,0,0,10,30
106,10,3,2,0,0,0,9,1,3,30
96,15,3,1,5,0,0,0,0,10,24
119,14,6,2,5,0,0,0,0,5,27
133,12,3,9,0,0,0,1,1,27,40
128,17,3,1,12,0,0,0,0,2,28
196,13,3,1,3,0,57,0,0,51,27
88,15,3,2,12,0,0,0,0,3,26
123,15,6,3,1,0,0,5,1,28,43
72,9,4,1,0,0,18,0,0,24,24
88,15,3,2,14,0,0,0,0,3,26
112,8,3,1,14,0,0,0,0,2,26
85,9,3,2,0,0,0,5,1,17,30
98,13,2,1,4,0,0,0,0,0,23
87,15,3,1,0,0,0,0,0,22,28
84,12,3,1,5,0,0,0,0,8,28
89,16,3,1,2,0,0,1,1,0,25
111,10,2,2,8,0,2,3,1,8,32
87,15,2,1,0,0,0,0,0,14,35
142,12,3,10,0,0,0,1,1,33,42
90,9,4,1,0,0,24,0,0,30,26
164,9,2,1,0,0,0,0,0,10,31
144,10,3,2,15,0,0,0,0,8,33
99,9,4,1,0,0,27,0,0,29,26
71,19,3,4,0,0,0,0,0,3,24
158,12,3,15,0,0,0,1,1,24,44
92,12,6,2,0,0,23,0,0,23,27
110,10,3,1,3,0,0,0,0,5,31
106,7,2,1,0,0,0,8,1,15,30
117,14,3,1,14,0,0,0,0,8,29
92,12,3,2,10,0,0,0,0,0,23
127,6,2,1,2,0,32,0,0,31,32
106,14,3,1,11,0,0,0,0,10,28
67,13,3,2,0,0,0,0,0,11,29
84,14,3,2,1,0,0,2,1,5,35
101,13,2,2,15,1,0,0,0,6,25
95,8,3,1,10,0,0,0,0,2,27
299,11,3,2,1,0,71,1,1,96,48
110,15,3,1,8,0,0,2,1,9,34
93,12,3,1,6,0,0,0,0,9,28
77,13,2,2,0,0,0,4,1,3,31
109,7,2,1,0,0,0,8,1,15,32
169,10,3,1,22,0,0,0,0,7,33
63,12,2,2,0,0,0,2,1,2,28
145,15,3,1,2,0,2,2,1,4,38
81,9,4,1,0,0,21,0,0,26,24
81,9,4,1,0,0,21,0,0,23,23
112,10,3,2,0,0,0,9,1,5,31
123,17,3,1,10,0,0,0,0,0,23
99,9,4,1,0,0,27,0,0,34,23
85,12,3,2,0,0,0,4,1,8,30
84,10,2,2,10,0,0,0,0,12,31
230,10,2,1,8,0,64,0,0,31,30
97,14,3,1,8,0,0,0,0,8,30
71,9,3,2,0,0,0,5,1,8,31
91,14,6,2,0,0,0,3,1,6,34
201,15,3,2,1,0,7,2,1,10,40
105,10,3,1,9,0,0,0,0,12,31
153,17,3,4,1,0,12,1,1,28,38
85,7,3,1,12,0,0,0,0,11,32
84,13,3,1,1,0,15,0,0,19,32
101,12,3,2,0,0,0,1,1,8,33
137,7,3,1,1,0,33,0,0,43,33
87,15,3,1,0,0,0,0,0,21,28
87,15,3,1,0,0,0,0,0,20,28
86,11,3,1,7,0,0,0,0,0,23
66,13,3,3,0,0,0,2,1,3,31
147,7,3,1,2,0,36,0,0,53,33
144,13,6,2,0,0,0,0,0,6,30
137,12,3,10,0,0,0,1,1,34,42
87,15,3,1,0,0,0,0,0,23,28
115,7,3,1,2,0,24,0,0,37,33
55,17,3,3,0,0,0,0,0,7,27
106,9,2,2,14,0,0,0,0,19,32
118,14,3,1,9,0,0,0,0,8,30
101,11,2,1,3,0,0,0,0,0,23
121,10,3,1,10,0,0,0,0,36,39
72,9,4,1,0,0,18,0,0,25,23
72,9,4,1,0,0,18,0,0,24,26
111,13,3,1,16,0,0,0,0,8,29
92,11,3,1,14,0,0,0,0,10,31
171,14,3,2,1,0,39,0,0,43,36
67,13,3,2,0,0,0,0,0,11,28
81,9,4,1,0,0,21,0,0,26,23
89,14,3,2,0,0,0,5,1,6,30
115,17,3,1,8,0,0,0,0,0,25
87,15,3,1,0,0,0,0,0,20,28
92,14,3,3,0,0,0,2,1,20,35
74,14,3,4,0,0,0,1,1,9,24
149,12,3,12,0,0,0,1,1,35,40
256,13,3,1,4,0,66,0,0,82,36
88,12,3,1,10,0,0,0,0,7,28
64,10,3,1,0,0,0,3,1,4,29
84,10,3,1,4,0,0,0,0,4,29
106,11,5,2,12,0,0,0,0,19,34
89,10,3,1,5,0,0,0,0,4,30
99,9,4,1,0,0,27,0,0,34,24
117,13,2,1,10,0,0,0,0,0,23
114,11,3,1,11,0,0,1,1,8,32
88,11,2,1,1,0,21,0,0,25,27
99,15,3,2,18,0,0,0,0,3,25
148,11,3,2,5,0,5,2,1,5,36
117,17,3,1,9,0,0,0,0,0,22
94,11,3,1,10,0,0,0,0,7,30
147,7,3,1,2,0,36,0,0,53,35
120,15,3,1,13,0,0,0,0,10,30
74,18,2,3,0,0,0,0,0,23,27
264,11,3,2,1,0,59,1,1,71,47
68,22,3,4,0,0,0,0,0,0,16
196,12,3,18,0,0,0,1,1,37,43
85,14,3,2,2,0,0,2,1,4,36
88,15,2,2,0,0,0,0,0,11,33
155,12,3,12,0,0,0,1,1,37,42
115,15,3,1,14,0,0,0,0,11,32
112,8,3,1,11,0,0,0,0,0,25
110,16,3,3,0,0,0,7,1,6,39
147,13,3,1,14,0,0,1,1,1,28
104,14,3,1,10,0,0,0,0,8,29
81,9,4,1,0,0,21,0,0,21,22
101,6,2,1,1,0,2,3,1,2,31
81,9,4,1,0,0,21,0,0,25,23
81,9,4,1,0,0,21,0,0,26,26
86,14,3,1,6,0,0,0,0,8,30
119,13,3,1,16,0,0,1,1,1,29
113,14,6,2,11,0,0,0,0,4,29
63,9,4,1,0,0,15,0,0,18,21
129,13,3,2,0,0,0,5,1,27,33
94,8,3,1,12,0,0,0,0,3,26
105,15,3,1,10,0,0,0,0,2,24
54,27,3,2,0,0,0,0,0,0,18
72,9,4,1,0,0,18,0,0,22,22
80,14,3,1,6,0,0,0,0,1,25
88,6,3,1,8,0,0,0,0,4,30
120,13,2,2,18,0,0,0,0,6,28
81,9,4,1,0,0,21,0,0,25,24
105,10,3,2,9,0,0,0,0,7,30
155,12,3,12,0,0,0,1,1,24,37
105,13,3,1,9,0,0,0,0,6,27
77,21,3,5,0,0,0,2,2,8,29
92,13,3,2,0,0,6,4,1,10,36
120,11,5,2,14,0,0,0,0,16,33
72,15,3,3,0,0,0,0,0,21,32
146,12,3,12,0,0,0,1,1,33,41
83,15,3,2,0,0,0,1,1,25,33
188,15,3,2,1,0,4,2,1,9,44
160,16,6,3,3,0,0,5,1,7,40
72,9,4,1,0,0,18,0,0,23,22
83,11,2,2,8,0,0,0,0,6,28
82,14,3,1,7,0,0,0,0,0,24
295,13,3,1,7,0,78,0,0,100,38
83,17,3,2,5,0,0,0,0,8,28
103,10,3,1,4,0,0,0,0,30,38
67,15,3,4,0,0,0,1,1,20,25
96,15,3,1,5,0,0,0,0,8,32
86,17,3,1,8,0,0,0,0,4,25
78,14,3,3,1,0,0,3,1,4,30
208,13,3,2,0,0,39,4,1,35,40
85,11,2,1,2,0,18,1,1,13,27
99,9,4,1,0,0,27,0,0,31,24
131,13,3,3,5,0,0,1,1,22,38
99,17,3,3,0,0,0,1,1,43,36
114,14,3,1,10,0,0,0,0,8,29
99,9,4,1,0,0,27,0,0,35,25
150,11,2,3,3,0,6,3,1,28,41
85,6,2,1,5,0,0,0,0,8,29
130,13,3,2,4,0,0,3,1,0,34
72,9,4,1,0,0,18,0,0,21,24
148,13,2,1,15,0,0,0,0,0,27
92,9,2,1,0,0,0,0,0,7,27
94,14,3,2,3,0,0,2,1,4,38
86,15,3,3,6,0,0,0,0,36,32
96,6,2,1,7,0,0,0,0,8,29
137,15,3,1,12,0,0,1,1,11,36
96,13,6,3,15,0,0,0,0,10,27
93,11,3,1,7,0,0,0,0,0,24
81,9,4,1,0,0,21,0,0,28,22
91,22,3,4,0,0,0,0,0,0,21
106,15,3,1,10,0,0,0,0,8,28
85,13,3,1,10,0,0,0,0,10,31
121,11,5,2,13,0,0,0,0,15,32
96,11,3,2,0,0,3,6,1,15,30
112,14,6,2,9,0,0,0,0,9,28
87,6,2,1,1,0,18,1,1,18,31
84,10,6,2,4,0,0,0,0,0,25
81,9,4,1,0,0,21,0,0,26,25
123,14,3,1,11,0,0,0,0,8,32
72,9,4,1,0,0,18,0,0,24,26
95,15,3,1,1,0,0,2,1,0,28
92,6,2,1,7,0,0,0,0,10,30
180,16,6,4,3,0,0,5,1,9,42
92,14,3,3,0,0,0,2,1,20,35
102,9,2,2,13,0,0,0,0,19,34
115,15,3,2,2,0,20,0,0,29,35
355,9,3,1,10,0,104,0,0,121,34
102,10,2,2,12,0,0,0,0,19,34
72,9,4,1,0,0,18,0,0,20,22
78,14,3,3,1,0,0,3,1,6,32
95,9,3,1,5,0,0,2,1,17,36
87,15,3,1,0,0,0,0,0,23,29
105,10,2,2,12,0,0,0,0,9,36
105,14,3,2,10,0,0,0,0,10,28
105,14,3,3,2,0,0,0,0,2,28
90,15,3,1,9,0,0,0,0,5,31
94,12,3,1,5,0,0,0,0,8,28
148,12,3,15,0,0,0,1,1,37,43
100,10,3,1,12,0,0,0,0,8,28
118,13,6,2,0,0,0,0,0,24,33
110,12,3,1,10,0,0,0,0,7,30
99,8,3,1,10,0,0,0,0,6,28
73,21,6,4,0,0,0,0,0,0,25
170,13,3,3,0,0,0,19,1,25,36
120,6,2,2,1,0,16,0,0,27,49
140,12,3,11,0,0,0,1,1,34,42
122,13,3,2,6,0,0,1,1,17,35
217,9,3,1,5,0,60,0,0,67,31
149,12,3,13,0,0,0,1,1,27,45
110,14,3,2,7,0,0,1,1,8,35
92,12,3,1,5,0,0,0,0,10,28
102,13,2,2,15,0,0,0,0,10,30
147,13,3,1,20,0,0,0,0,0,26
105,14,3,1,10,0,0,0,0,7,30
108,9,2,2,14,0,0,0,0,19,33
93,10,3,1,7,0,0,1,1,5,30
100,15,2,3,1,0,4,0,0,17,39
88,6,3,1,11,0,0,0,0,4,35
99,15,2,3,5,0,0,0,0,14,45
90,16,3,1,8,0,0,0,0,7,28
130,12,3,8,0,0,0,1,1,29,40
103,6,2,1,1,0,0,5,1,1,27
224,11,3,5,4,0,35,2,1,61,46
97,15,3,1,9,0,0,0,0,9,33
121,14,3,2,8,0,0,0,0,8,29
140,12,3,10,0,0,0,1,1,37,41
160,9,3,1,3,0,42,0,0,46,31
108,10,3,2,0,0,0,9,1,4,30
105,12,3,2,0,0,0,8,1,2,28
76,21,6,4,0,0,0,0,0,1,25
91,8,3,1,9,0,0,0,0,6,29
64,13,3,5,0,0,0,4,1,11,28
83,10,3,1,7,0,0,0,0,8,28
84,22,3,2,1,0,0,1,1,8,29
136,13,3,2,0,0,21,4,1,24,39
148,6,2,1,10,0,0,0,0,1,22
119,10,2,2,8,0,2,4,1,13,35
110,15,3,2,17,0,0,0,0,3,24
146,9,3,1,2,0,38,0,0,42,29
180,9,3,1,4,0,48,0,0,52,31
104,10,3,2,0,0,0,9,1,3,29
174,14,3,1,1,0,48,0,0,55,25
99,9,4,1,0,0,27,0,0,34,22
85,13,3,1,0,0,0,3,1,0,29
82,11,3,1,8,0,0,0,0,0,25
107,17,3,1,10,0,0,0,0,8,30
83,9,3,1,9,0,0,0,0,7,30
88,11,3,1,8,0,0,0,0,1,26
100,13,6,2,0,0,0,0,0,6,27
107,13,3,1,8,0,0,0,0,41,34
142,9,2,1,0,0,39,0,0,41,29
87,11,3,1,7,0,0,0,0,0,23
89,11,2,2,14,0,0,0,0,6,26
64,19,14,6,0,0,0,0,0,4,24
85,6,2,1,9,0,0,0,0,13,32
87,15,3,1,0,0,0,0,0,22,27
89,14,2,1,0,0,18,0,0,30,27
129,13,3,2,0,0,0,5,1,27,34
223,11,3,2,1,0,44,1,1,59,46
93,11,3,1,5,0,0,0,0,0,23
104,10,3,2,0,0,0,9,1,3,29
67,14,3,3,0,0,0,2,1,6,30
85,20,3,1,9,0,0,0,0,6,27
89,14,3,2,0,0,0,5,1,4,32
105,13,3,2,0,0,9,4,1,12,39
87,15,3,3,1,0,0,4,1,16,38
119,14,3,1,0,0,14,1,1,25,37
77,20,3,3,0,0,2,0,1,7,35
231,13,6,2,0,0,66,0,0,62,32
89,6,3,1,8,0,0,0,0,4,31
104,15,2,2,1,0,5,0,0,18,41
110,14,3,2,6,0,0,0,0,8,29
87,9,2,1,0,0,18,0,0,20,31
106,7,3,1,9,0,0,0,0,8,28
112,14,3,3,4,0,0,0,0,30,42
126,11,3,2,12,0,0,1,1,5,31
167,9,3,1,2,0,46,0,0,54,28
103,11,3,1,9,0,0,0,0,8,30
172,17,3,4,0,0,4,7,1,51,41
103,11,3,1,10,0,0,0,0,10,33
138,13,6,2,0,0,0,0,0,6,31
110,11,3,1,14,0,0,0,0,8,32
89,21,6,3,0,0,0,2,1,3,29
128,14,3,1,19,0,0,0,0,15,29
87,15,3,3,1,0,0,4,1,16,38
165,12,3,16,0,0,0,1,1,47,40
71,9,3,2,0,0,0,5,1,8,31
150,9,3,1,6,0,34,0,0,46,32
185,16,3,1,2,0,3,12,1,5,36
89,13,6,2,0,0,0,0,0,7,28
90,8,3,1,8,0,0,0,0,1,26
86,13,3,2,11,0,0,0,0,7,30
99,15,3,7,3,0,0,1,1,15,32
90,9,4,1,0,0,24,0,0,29,24
103,15,3,1,5,0,0,0,0,8,29
257,9,3,1,7,0,72,0,0,87,31
124,6,2,1,8,0,0,0,0,3,25
83,15,3,1,7,0,0,0,0,5,29
58,19,3,2,0,0,0,0,0,1,24
110,11,5,2,12,0,0,0,0,15,31
212,9,3,1,5,0,58,0,0,65,31
290,11,3,2,1,0,68,1,1,91,48
92,14,3,3,0,0,0,2,1,20,35
135,10,3,2,14,0,0,0,0,14,28
104,16,6,4,2,0,0,0,0,44,29
98,9,2,2,13,0,0,0,0,18,28
87,15,3,1,0,0,0,0,0,23,27
94,14,3,2,7,0,0,1,1,8,33
75,21,5,4,1,0,0,0,0,0,27
298,11,3,2,1,0,71,1,1,96,48
89,10,3,1,9,0,0,0,0,5,27
72,9,4,1,0,0,18,0,0,25,24
92,15,3,1,5,0,0,2,1,12,36
85,17,3,2,6,0,0,0,0,8,29
180,16,6,4,3,0,0,5,1,11,40
86,15,3,5,1,0,0,1,1,4,31
177,7,3,1,2,0,45,0,0,59,37
152,9,3,1,2,0,40,0,0,41,30
89,13,6,2,0,0,0,0,0,7,27
82,11,3,1,8,0,0,0,0,0,22
95,10,3,1,9,1,0,0,0,6,32
98,14,3,1,8,0,0,0,0,7,28
