URLLength,HostLength,TLDLength,DotCount,DashCount,@Count,%Count,=Count,?Count,DigitCount,UniqueCharCount,URLType
122,10,3,1,10,0,0,0,0,12,32,0
94,14,3,2,0,0,0,4,1,7,35,1
174,7,3,1,2,0,45,0,0,61,35,0
84,8,3,1,10,0,0,0,0,0,25,0
170,15,2,2,1,0,10,0,0,28,44,0
81,9,4,1,0,0,21,0,0,27,21,1
90,13,3,1,7,0,0,0,0,6,27,0
80,14,3,3,0,0,0,1,1,20,35,1
92,14,3,3,0,0,0,2,1,20,35,1
105,14,3,2,7,0,0,0,0,8,32,0
47,20,5,3,0,0,0,0,0,0,20,1
195,14,3,1,2,0,54,0,0,54,30,1
90,9,4,1,0,0,24,0,0,28,21,1
67,12,3,2,7,0,0,0,0,17,27,1
88,17,3,1,5,0,0,0,0,0,24,0
81,9,4,1,0,0,21,0,0,27,23,1
107,11,3,1,0,0,0,0,0,14,45,0
86,14,3,1,5,0,0,0,0,0,23,1
87,15,3,1,0,0,0,0,0,23,29,0
98,10,2,2,3,0,0,0,0,10,45,0
104,7,3,1,15,0,0,0,0,10,31,0
83,17,3,1,8,0,0,0,0,10,30,0
148,9,2,1,0,0,42,0,0,52,25,0
86,12,3,1,7,0,0,0,0,7,33,0
97,13,3,1,11,0,0,0,0,6,28,0
89,12,3,1,10,0,0,0,0,10,29,0
94,14,3,2,8,0,0,0,0,8,30,0
110,6,2,1,8,0,0,0,0,1,20,0
115,15,3,2,2,0,20,0,0,29,34,0
85,10,3,1,3,0,0,0,0,28,36,0
65,16,2,1,0,0,0,0,0,0,23,1
161,13,2,2,27,0,0,0,0,8,29,0
83,12,3,1,8,0,0,0,0,7,29,0
87,12,3,1,4,0,0,0,0,8,30,0
115,7,3,1,15,0,0,0,0,6,25,0
116,18,3,2,0,0,2,1,1,7,28,0
124,14,3,3,10,0,0,0,0,8,27,0
81,9,4,1,0,0,21,0,0,28,22,1
86,6,2,1,7,0,0,0,0,9,31,1
90,9,4,1,0,0,24,0,0,26,23,1
99,9,4,1,0,0,27,0,0,31,23,1
93,9,3,1,6,0,0,0,0,0,22,0
93,13,3,2,11,0,0,0,0,7,29,0
71,16,3,3,0,0,0,0,0,24,29,1
67,14,3,3,0,0,0,2,1,6,31,1
238,11,3,2,1,0,50,1,1,68,45,0
122,13,3,1,7,0,0,3,1,0,27,0
191,15,3,2,1,0,4,2,1,9,44,0
98,15,3,6,2,0,0,2,1,6,30,1
99,9,4,1,0,0,27,0,0,30,24,1
95,10,2,3,0,0,0,7,1,25,35,1
67,16,6,4,0,0,0,0,0,21,29,1
90,14,3,1,8,0,0,0,0,15,32,0
147,13,2,1,7,0,0,3,1,8,33,0
92,12,2,2,10,0,0,0,0,2,25,0
83,15,2,1,0,0,0,0,0,12,34,0
71,15,3,2,1,0,3,0,0,10,30,1
89,9,2,2,11,0,0,0,0,8,26,0
88,14,2,3,2,0,2,3,2,4,33,0
81,9,4,1,0,0,21,0,0,27,22,1
75,6,2,1,6,0,0,0,0,9,29,1
82,15,3,3,0,0,0,1,0,26,34,1
155,13,3,2,0,0,24,3,1,20,39,0
106,13,3,1,1,0,24,0,0,26,27,0
99,8,2,1,9,0,0,0,0,13,35,0
114,7,3,1,14,0,0,0,0,6,30,0
95,10,3,1,5,0,0,0,0,30,32,0
101,13,3,2,0,0,9,4,1,13,40,0
152,11,3,2,16,0,0,1,1,5,33,0
105,11,2,1,0,0,0,3,1,12,27,0
110,11,3,1,9,0,0,0,0,0,24,0
78,21,3,3,0,0,0,1,1,0,23,1
95,15,3,1,0,0,1,2,1,2,29,0
90,11,3,1,7,0,0,0,0,6,31,0
81,9,4,1,0,0,21,0,0,26,21,1
115,10,3,1,11,0,0,0,0,36,38,0
99,9,4,1,0,0,27,0,0,31,23,1
104,15,3,1,11,0,0,0,0,6,30,0
110,18,3,2,0,0,2,0,0,26,30,0
129,15,2,8,1,0,2,0,0,16,43,0
98,12,3,1,1,0,0,3,1,1,32,0
84,9,4,1,0,0,22,0,0,30,24,1
90,14,6,2,5,0,0,0,0,5,28,0
178,12,3,19,0,0,0,1,1,30,41,0
95,13,3,1,0,0,0,0,0,2,28,0
85,11,3,1,7,0,0,0,0,0,23,0
93,8,3,1,11,0,0,0,0,6,28,0
97,13,2,2,13,0,0,0,0,7,26,0
94,10,3,1,11,0,0,0,0,9,28,0
141,9,3,1,0,0,0,6,1,4,32,0
123,15,2,2,0,0,0,0,0,14,40,0
84,13,6,2,0,0,18,0,0,18,29,0
133,14,3,2,9,0,0,0,0,8,32,0
77,13,3,3,1,0,0,0,0,31,31,1
135,11,3,2,12,0,0,1,1,5,33,0
73,15,3,4,2,0,0,1,1,14,29,1
92,14,3,3,0,0,0,2,1,20,35,1
76,21,6,4,0,0,0,0,0,1,25,1
144,19,6,4,12,0,0,0,0,8,29,0
87,12,3,2,9,0,0,0,0,12,32,0
125,14,3,2,11,0,0,0,0,8,30,0
66,13,3,3,0,0,0,2,1,3,31,1
222,11,3,2,16,0,7,2,1,7,45,0
90,9,4,1,0,0,24,0,0,31,23,1
114,10,2,2,7,0,2,5,1,16,34,0
88,18,3,3,4,0,0,0,0,8,31,0
97,9,2,2,12,0,0,0,0,18,32,0
97,23,3,1,8,0,0,0,0,0,25,0
111,9,5,2,3,0,2,3,1,2,30,0
72,9,4,1,0,0,18,0,0,25,24,1
84,14,3,1,2,0,0,0,0,7,31,0
87,10,3,1,3,0,0,0,0,4,30,0
103,14,3,2,10,0,0,0,0,8,28,0
90,9,4,1,0,0,24,0,0,28,25,1
84,15,3,1,4,0,0,0,0,8,26,0
90,9,4,1,0,0,24,0,0,32,22,1
154,9,3,1,6,0,36,0,0,44,32,0
124,10,3,1,13,1,0,1,1,6,32,0
105,13,6,2,0,0,0,0,0,7,31,0
120,11,5,2,14,0,0,0,0,16,33,0
108,10,3,2,0,0,0,9,1,4,30,0
85,13,4,1,12,0,0,0,0,10,28,0
93,15,3,1,10,0,0,0,0,5,31,0
90,13,3,1,6,0,0,0,0,6,29,0
147,21,3,1,12,0,9,1,1,7,39,0
108,10,3,2,0,0,0,9,1,4,30,0
115,17,3,3,6,0,2,1,1,11,34,0
247,14,3,1,1,0,71,0,0,69,32,1
84,11,3,1,8,0,0,0,0,7,30,0
93,13,6,2,0,0,0,0,0,6,29,0
84,12,3,2,9,0,0,0,0,10,32,0
86,11,3,1,5,0,0,1,1,8,31,0
129,10,3,1,14,0,0,0,0,6,30,0
99,6,2,1,1,0,2,3,1,2,30,0
97,14,3,3,6,0,0,0,0,8,27,0
64,18,3,3,0,0,0,0,0,0,22,1
118,13,3,1,7,0,0,3,1,0,27,0
102,11,3,2,16,0,0,0,0,1,25,0
90,9,4,1,0,0,24,0,0,29,25,1
66,15,3,2,0,0,0,0,0,0,22,1
112,10,3,2,0,0,0,9,1,5,31,0
123,10,3,1,16,0,0,1,1,8,32,0
104,9,3,1,8,0,0,2,1,19,36,0
100,7,3,1,10,0,0,0,0,6,32,0
89,15,6,2,9,0,0,0,0,0,23,0
84,10,2,2,8,0,0,0,0,12,28,0
83,6,2,1,1,0,10,1,1,9,33,0
110,10,2,2,3,0,0,0,0,18,44,0
97,10,3,1,11,0,0,0,0,4,29,0
95,8,3,1,9,0,0,0,0,6,28,0
73,15,3,4,2,0,0,1,1,14,29,1
104,10,2,8,4,0,0,1,1,13,36,0
99,9,4,1,0,0,27,0,0,31,24,1
262,11,3,2,1,0,59,1,1,71,47,0
99,9,4,1,0,0,27,0,0,29,26,1
92,14,6,2,0,0,0,3,1,7,33,0
91,13,3,2,2,0,0,0,0,0,28,0
134,13,3,1,16,0,0,0,0,0,27,0
101,13,2,1,9,0,0,0,0,0,24,0
102,9,2,2,12,0,0,0,0,22,28,0
129,14,3,2,9,0,0,0,0,8,31,0
95,11,3,2,0,0,3,6,1,14,31,0
93,16,3,1,9,0,0,0,0,7,29,0
77,20,3,3,0,0,2,0,1,7,35,1
98,15,3,6,2,0,0,2,1,6,30,1
75,12,3,4,0,0,0,1,1,5,35,1
131,12,3,10,0,0,0,1,1,25,41,0
65,12,3,1,7,0,0,0,0,3,26,1
102,8,3,1,11,0,0,0,0,2,28,0
104,15,3,1,5,0,0,0,0,9,30,0
78,16,6,4,0,0,0,0,0,27,34,1
81,9,4,1,0,0,21,0,0,27,22,1
86,6,3,1,10,0,0,0,0,4,32,0
90,9,4,1,0,0,24,0,0,28,22,1
155,12,3,14,0,0,0,1,1,40,42,0
120,14,3,1,12,0,0,0,0,8,32,0
171,16,6,4,3,0,0,5,1,11,39,0
123,13,3,2,0,0,15,4,1,21,40,0
146,13,6,2,0,0,0,0,0,6,31,0
126,12,3,8,0,0,0,1,1,32,40,0
123,7,3,1,2,0,27,0,0,37,36,0
76,25,3,3,3,0,0,0,0,4,26,1
99,9,4,1,0,0,27,0,0,29,24,1
108,10,3,2,0,0,0,9,1,4,29,0
89,17,3,1,6,0,0,0,0,8,31,0
98,9,2,1,0,0,22,0,0,34,30,0
148,6,2,1,10,0,0,0,0,1,23,0
83,16,3,1,5,0,0,0,0,10,25,0
89,10,3,1,5,0,0,0,0,4,29,0
89,14,3,2,0,0,0,5,1,6,31,1
86,10,2,2,1,0,0,0,0,8,42,0
202,21,3,1,12,0,27,1,1,44,53,0
90,15,3,2,15,0,0,0,0,3,24,0
98,8,3,1,11,0,0,0,0,6,30,0
89,12,3,1,4,0,0,0,0,8,27,0
106,15,6,2,10,0,0,0,0,0,20,0
89,8,3,1,11,0,0,0,0,2,23,0
88,14,3,3,0,0,0,3,1,6,36,1
103,10,3,1,12,0,0,0,0,5,31,0
94,10,3,1,10,0,0,0,0,6,29,0
97,15,3,1,9,0,0,0,0,0,24,0
95,10,3,1,8,0,0,0,0,6,32,0
108,10,2,2,1,0,0,0,0,4,36,0
94,11,5,2,11,0,0,0,0,17,28,0
79,14,3,4,1,0,0,1,1,10,29,1
81,9,4,1,0,0,21,0,0,28,23,1
99,9,4,1,0,0,27,0,0,29,25,1
85,9,2,1,0,0,20,0,0,18,24,0
134,12,3,9,0,0,0,1,1,22,40,0
185,16,6,3,4,0,0,5,1,5,42,0
111,11,3,2,11,0,0,0,0,14,31,0
100,14,3,1,4,0,0,0,0,7,32,0
87,14,3,1,11,0,0,0,0,10,31,0
84,8,3,1,9,0,0,0,0,2,27,0
105,7,3,1,16,0,0,0,0,5,27,0
91,13,3,1,7,0,0,0,0,6,27,0
69,14,3,8,2,0,0,1,1,14,30,1
112,15,2,12,0,0,0,0,0,12,39,0
107,13,3,1,8,0,0,0,0,44,33,0
117,11,3,2,7,0,0,0,0,7,33,0
107,10,3,2,0,0,0,9,1,4,32,0
81,9,4,1,0,0,21,0,0,23,23,1
99,14,3,2,6,0,0,0,0,8,31,0
108,13,2,1,0,0,24,0,0,14,25,0
86,15,3,1,4,0,0,2,1,9,38,0
77,20,3,3,0,0,2,0,1,7,34,1
79,20,3,3,0,0,0,0,0,2,29,1
91,15,2,1,0,0,6,1,1,12,24,0
165,7,3,1,2,0,42,0,0,56,35,0
96,15,3,1,5,0,0,0,0,8,29,0
101,9,3,1,1,0,24,0,0,26,27,0
94,14,3,2,8,0,0,0,0,8,31,0
108,10,3,2,0,0,0,9,1,4,29,0
89,17,3,1,8,0,0,0,0,8,31,0
98,10,2,1,2,0,4,1,1,13,38,0
83,13,3,1,7,0,0,0,0,6,28,0
102,13,3,4,3,0,0,1,1,3,30,1
86,12,3,2,0,0,0,1,1,8,30,0
107,15,3,1,9,0,0,1,1,8,34,0
92,10,3,1,5,0,0,1,1,8,30,0
126,11,5,2,15,0,0,0,0,15,34,0
141,13,6,2,0,0,0,0,0,6,29,0
83,14,3,1,5,0,0,0,0,7,30,0
102,13,2,2,16,0,0,0,0,10,30,0
104,11,3,1,9,0,0,0,0,14,29,0
135,12,3,10,0,0,0,1,1,37,40,0
92,12,3,1,10,0,0,0,0,4,30,0
113,10,3,1,15,0,0,0,0,6,29,0
92,12,2,2,10,0,0,0,0,2,26,0
172,16,6,4,3,0,0,5,1,9,42,0
69,15,3,4,0,0,0,1,1,17,26,1
86,10,2,3,2,0,2,1,1,13,34,0
82,15,3,3,0,0,0,1,0,26,34,1
67,14,3,3,0,0,0,2,1,6,31,1
89,14,3,2,0,0,0,5,1,6,30,1
80,28,5,3,0,0,0,0,0,22,33,1
107,10,3,2,0,0,0,9,1,5,30,0
86,9,3,3,0,0,5,1,1,7,27,0
83,13,3,1,7,0,0,0,0,6,29,0
111,12,3,1,12,0,0,0,0,10,30,0
123,14,3,6,2,0,0,0,0,30,41,1
110,12,3,2,14,0,0,0,0,12,36,0
119,11,5,2,16,0,0,0,0,19,34,0
93,13,3,2,4,0,0,0,0,0,25,0
86,12,3,2,7,0,0,0,0,0,25,0
94,6,2,1,11,0,0,0,0,11,31,1
121,10,2,2,9,0,2,4,1,13,38,0
63,9,4,1,0,0,15,0,0,21,21,1
165,12,3,16,0,0,0,1,1,40,43,0
223,9,3,1,6,0,62,0,0,74,31,0
215,13,3,1,4,0,63,0,0,63,28,1
92,10,3,1,5,0,0,0,0,4,28,0
103,11,3,1,9,0,0,0,0,0,25,0
102,14,3,2,6,0,0,0,0,8,31,0
102,13,6,3,16,0,0,0,0,8,27,0
109,11,3,1,7,0,0,1,1,8,33,0
123,7,3,2,2,0,27,0,0,44,35,0
66,14,3,1,4,0,0,0,0,3,24,1
86,12,3,1,3,0,0,0,0,8,26,0
207,13,2,1,0,0,53,0,0,38,35,0
87,15,3,1,9,0,0,0,0,10,29,0
72,21,6,4,0,0,0,0,0,0,26,1
127,14,3,1,9,0,0,0,0,8,30,0
93,9,2,2,12,0,0,0,0,23,30,0
93,6,2,1,1,0,12,1,1,11,33,0
272,11,3,2,1,0,62,1,1,79,49,0
72,14,3,4,2,0,0,1,1,9,27,1
86,11,5,2,9,0,0,0,0,19,31,0
132,11,3,2,4,0,5,2,1,5,35,0
117,7,3,1,13,0,0,0,0,6,29,0
108,10,3,2,0,0,0,9,1,3,29,0
83,16,3,2,7,0,0,0,0,2,26,0
105,9,2,1,0,0,26,0,0,36,28,0
88,17,3,2,11,0,0,0,0,0,26,0
114,18,3,1,11,0,0,0,0,7,29,0
96,14,3,1,10,0,0,0,0,10,28,0
99,9,4,1,0,0,27,0,0,34,22,1
95,6,2,1,9,0,0,0,0,11,33,1
95,13,2,1,0,0,15,0,0,13,30,0
105,15,6,3,14,0,0,0,0,14,31,0
82,13,3,3,1,0,0,3,1,3,33,1
65,21,3,2,2,0,0,0,0,0,22,1
110,12,3,1,4,0,0,4,1,10,34,0
80,14,3,1,6,0,0,0,0,1,25,1
81,9,4,1,0,0,21,0,0,26,23,1
98,10,2,2,0,0,6,2,1,6,30,0
96,14,3,1,9,0,0,0,0,8,31,0
91,13,3,1,8,0,0,0,0,6,27,0
107,11,3,1,12,0,0,0,0,12,31,0
151,15,2,2,2,0,4,0,0,21,48,0
88,8,3,1,12,0,0,0,0,0,25,0
99,6,2,1,11,0,0,0,0,9,31,1
86,10,3,1,9,0,0,0,0,6,28,0
91,15,3,1,11,0,0,0,0,2,26,0
134,17,3,1,13,0,0,1,1,8,35,0
102,10,3,1,9,0,0,0,0,10,30,0
72,9,4,1,0,0,18,0,0,23,19,1
67,14,3,2,0,0,0,4,1,7,33,1
205,9,3,1,4,0,56,0,0,70,32,0
89,14,3,1,6,0,0,0,0,8,29,0
90,12,3,2,11,0,0,0,0,16,32,0
102,14,3,2,11,0,0,0,0,9,30,0
56,27,3,2,0,0,0,0,0,0,25,1
90,17,3,3,5,0,2,1,1,10,31,0
160,12,3,15,0,0,0,1,1,29,44,0
82,14,3,3,1,0,0,0,0,5,32,1
95,7,2,1,0,0,4,4,1,8,28,0
104,11,2,1,0,0,21,0,1,19,37,0
89,18,3,1,0,0,0,0,0,37,29,0
80,15,3,4,1,0,0,1,1,11,29,1
96,12,3,1,3,0,0,4,1,10,35,0
84,11,3,1,7,0,0,0,0,6,27,0
111,6,2,1,2,0,2,4,1,4,32,0
51,28,3,2,0,0,0,0,0,0,22,1
88,6,2,2,4,0,0,0,0,1,22,0
84,17,3,3,0,0,0,1,1,0,25,0
91,15,6,2,7,0,0,0,0,1,18,0
108,15,3,2,17,0,0,0,0,3,24,0
107,17,3,2,14,0,0,0,0,0,25,0
88,10,2,2,8,0,0,0,0,7,30,0
116,11,2,1,2,0,0,0,0,0,25,0
84,15,3,2,1,0,0,0,0,0,24,0
99,13,3,1,11,0,0,0,0,8,28,0
74,12,3,2,2,0,0,0,0,0,23,1
87,15,3,1,0,0,0,0,0,20,29,0
129,7,3,1,2,0,30,0,0,44,34,0
84,13,4,1,8,0,0,0,0,3,23,0
95,17,3,1,7,0,0,0,0,8,29,0
101,25,3,5,1,0,0,1,1,4,27,1
87,15,3,1,0,0,0,0,0,18,26,0
110,8,3,1,11,0,0,0,0,6,28,0
168,15,3,1,17,0,0,2,1,10,36,0
64,11,3,2,0,0,0,4,1,2,25,1
83,10,3,1,4,0,0,0,0,4,27,0
99,10,2,2,10,0,0,0,0,10,33,0
53,20,6,4,0,0,0,0,0,3,24,1
107,10,3,2,0,0,0,9,1,5,31,0
83,10,3,2,7,0,0,0,0,13,29,0
97,13,3,2,4,0,0,1,1,17,35,0
85,21,6,3,2,0,0,0,0,3,25,1
86,6,2,1,1,0,18,1,1,18,30,0
94,9,2,1,0,0,24,0,0,30,24,0
91,17,3,2,13,0,0,0,0,0,22,0
111,13,3,1,12,0,0,0,0,6,31,0
81,9,4,1,0,0,21,0,0,26,24,1
81,9,4,1,0,0,21,0,0,26,24,1
129,11,3,2,10,0,0,1,1,5,34,0
105,13,2,2,17,0,0,0,0,6,29,0
145,12,3,11,0,0,0,1,1,34,42,0
48,23,6,3,0,0,0,0,0,2,21,1
87,15,3,1,0,0,0,0,0,23,29,0
87,14,3,2,1,0,0,2,1,5,37,0
99,8,2,1,11,0,0,0,0,21,40,0
124,10,2,2,8,0,2,5,1,15,34,0
174,6,2,1,0,0,28,4,1,30,37,0
121,13,2,2,17,0,0,0,0,7,29,0
87,15,3,1,0,0,0,0,0,21,29,0
103,15,3,1,5,0,0,0,0,8,29,0
92,9,2,2,13,0,0,0,0,19,34,0
72,9,4,1,0,0,18,0,0,25,24,1
99,9,4,1,0,0,27,0,0,31,24,1
83,10,6,2,4,0,0,0,0,0,24,0
130,12,3,8,0,0,0,1,1,33,40,0
98,10,2,2,3,0,0,0,0,21,46,0
106,15,6,2,9,0,0,0,0,0,23,0
90,14,3,1,7,0,0,0,0,6,30,0
123,15,6,3,1,0,0,5,1,28,43,0
118,20,3,1,12,0,0,0,0,6,29,0
87,15,3,1,8,0,0,0,0,5,30,0
118,14,3,2,7,0,0,1,1,8,31,0
107,13,3,1,8,0,0,0,0,50,34,0
90,15,3,1,8,0,0,0,0,6,29,0
161,12,3,12,0,0,2,1,1,35,41,0
93,10,3,1,10,0,0,0,0,6,32,0
104,10,3,2,0,0,0,9,1,3,28,0
87,15,3,1,10,0,0,0,0,5,29,0
162,9,3,1,3,0,42,0,0,58,32,0
75,16,3,3,0,0,0,3,1,2,34,1
83,6,2,1,6,0,0,0,0,1,21,0
112,17,3,1,12,0,0,0,0,8,29,0
87,12,3,1,8,0,0,0,0,0,28,0
114,12,3,2,12,0,0,0,0,18,31,0
108,10,2,2,11,0,0,0,0,7,31,0
99,9,4,1,0,0,27,0,0,34,26,1
122,15,2,2,1,0,0,0,0,13,45,0
85,10,3,1,5,0,0,0,0,5,27,0
110,16,3,3,0,0,0,7,1,6,38,1
99,9,2,2,14,0,0,0,0,19,31,0
105,9,2,2,14,0,0,0,0,19,29,0
92,13,3,1,8,0,0,0,0,1,26,0
106,10,2,2,1,0,0,0,0,7,31,0
89,13,6,2,0,0,0,0,0,7,27,0
186,16,6,7,3,0,0,5,1,17,43,0
84,9,4,1,0,0,22,0,0,22,24,1
94,11,3,1,7,0,0,0,0,0,24,0
81,9,4,1,0,0,21,0,0,24,21,1
66,9,4,1,0,0,16,0,0,21,22,1
72,9,4,1,0,0,18,0,0,25,22,1
84,7,3,1,11,0,0,0,0,8,27,0
87,14,3,2,2,0,0,1,1,6,32,0
65,13,2,2,1,0,0,0,0,0,21,1
89,17,3,1,6,0,0,0,0,8,33,0
130,10,6,2,13,0,0,0,0,0,24,0
85,9,3,2,0,0,11,2,1,10,35,0
85,9,2,1,0,0,21,0,0,28,23,0
96,10,3,1,10,0,0,0,0,5,29,0
121,14,3,2,9,0,0,0,0,8,34,0
99,9,4,1,0,0,27,0,0,31,23,1
99,12,3,1,1,0,0,0,0,0,30,0
164,11,3,2,20,0,0,1,1,5,32,0
103,17,3,3,5,0,2,1,1,10,34,0
72,9,4,1,0,0,18,0,0,23,19,1
115,17,3,3,6,0,2,1,1,10,34,0
109,9,5,2,6,0,0,0,0,1,24,0
96,6,3,1,10,0,0,0,0,6,30,0
101,12,2,2,11,0,0,0,0,2,26,0
124,6,3,1,12,0,0,0,0,4,35,0
76,21,6,4,0,0,0,0,0,1,25,1
104,6,2,1,1,0,2,3,1,2,31,0
127,15,6,2,10,0,0,0,0,0,21,0
87,12,2,2,9,0,0,0,0,0,25,0
88,8,3,1,13,0,0,0,0,2,26,0
392,9,3,1,10,0,116,0,0,125,33,0
89,8,3,1,11,0,0,0,0,6,26,0
112,15,3,1,10,0,0,0,0,6,27,0
129,10,3,1,12,0,0,1,1,7,29,0
102,11,3,1,9,0,0,1,1,8,32,0
99,8,3,1,10,0,0,0,0,6,30,0
87,15,3,1,7,0,0,0,0,6,30,0
120,10,3,1,13,0,0,1,1,5,29,0
98,6,2,1,1,0,14,1,1,13,35,0
81,9,4,1,0,0,21,0,0,28,23,1
109,10,2,2,14,0,0,0,0,13,35,0
81,9,4,1,0,0,21,0,0,22,21,1
87,12,3,2,8,0,0,0,0,0,26,0
157,11,2,2,6,0,6,3,1,28,40,0
134,14,3,6,2,0,0,0,0,40,39,1
93,13,3,1,10,0,0,0,0,5,29,0
90,9,4,1,0,0,24,0,0,28,24,1
118,11,3,1,11,0,0,1,1,8,34,0
97,15,3,1,10,0,0,0,0,5,31,0
67,13,3,2,0,0,0,0,0,11,29,1
114,14,3,2,10,0,0,0,0,8,27,0
76,21,6,4,0,0,0,0,0,0,25,1
71,12,3,2,1,0,0,0,0,0,22,1
129,12,2,1,0,0,35,0,0,36,26,0
89,11,3,1,11,0,0,0,0,7,30,0
117,11,3,1,11,0,0,0,0,0,24,0
113,12,3,2,13,0,0,0,0,14,33,0
559,11,3,4,4,0,144,2,1,162,49,0
136,15,3,1,13,0,0,2,1,10,32,0
180,15,3,1,1,0,4,2,1,6,40,0
91,9,2,2,11,0,0,0,0,19,29,0
83,14,3,1,7,0,0,0,0,8,29,0
71,9,3,2,0,0,0,5,1,8,31,1
98,14,3,1,7,0,0,0,0,6,29,0
79,20,9,3,2,0,0,1,1,3,26,1
71,19,3,4,0,0,0,0,0,3,24,1
85,15,6,2,9,0,0,0,0,0,22,0
69,25,3,3,0,0,0,0,0,0,23,1
85,14,3,1,7,0,0,0,0,8,30,0
93,8,3,1,12,0,0,0,0,6,28,0
98,8,3,1,15,0,0,0,0,0,23,0
99,9,4,1,0,0,27,0,0,31,24,1
100,7,3,1,11,0,0,0,0,6,27,0
146,12,3,11,0,0,0,1,1,24,42,0
143,12,3,11,0,0,0,1,1,32,42,0
231,14,3,1,1,0,66,0,0,67,30,1
72,9,4,1,0,0,18,0,0,25,22,1
87,15,3,1,0,0,0,0,0,22,27,0
96,17,3,1,10,0,0,0,0,8,32,0
119,10,3,1,10,0,0,0,0,36,34,0
109,6,3,1,12,0,0,0,0,4,29,0
106,12,3,1,15,0,0,0,0,11,31,0
102,14,3,1,13,0,0,0,0,8,29,0
80,15,3,4,1,0,0,1,1,8,29,1
86,15,3,2,0,0,0,6,1,10,30,1
139,13,3,5,0,0,0,6,1,28,38,0
144,15,2,2,1,0,5,0,0,21,46,0
90,15,3,2,14,0,0,0,0,5,27,0
117,11,3,2,15,0,0,0,0,1,27,0
88,10,6,2,4,0,0,0,0,0,22,0
97,8,3,1,9,0,0,0,0,6,30,0
67,14,3,3,0,0,0,2,1,6,31,1
99,9,4,1,0,0,27,0,0,34,24,1
99,13,2,2,15,0,0,0,0,6,25,0
93,12,3,1,6,0,0,0,0,10,29,0
217,11,3,2,1,0,35,1,1,53,46,0
85,7,2,1,7,0,0,0,0,11,30,0
115,15,3,1,2,0,0,2,1,1,31,0
93,12,3,2,9,0,0,0,0,0,25,0
81,9,4,1,0,0,21,0,0,27,22,1
96,13,3,1,10,0,0,0,0,6,28,0
105,15,3,1,2,0,0,2,1,1,30,0
88,8,2,1,9,0,0,0,0,16,39,0
134,10,3,1,16,1,0,1,1,5,33,0
99,9,4,1,0,0,27,0,0,31,24,1
106,7,2,1,0,0,0,8,1,15,30,0
92,14,3,3,0,0,0,2,1,20,35,1
